Time,PPG (Pulse)
0.0,-1.11279296875
0.005000083333333333,-1.1142578125
0.010000166666666666,-1.116455078125
0.01500025,-1.11962890625
0.020000333333333332,-1.123779296875
0.025000416666666664,-1.12884521484375
0.0300005,-1.13494873046875
0.03500058333333333,-1.1416015625
0.040000666666666664,-1.14862060546875
0.04500075,-1.15570068359375
0.05000083333333333,-1.16278076171875
0.05500091666666666,-1.1697998046875
0.060001,-1.1767578125
0.06500108333333333,-1.1837158203125
0.07000116666666666,-1.1910400390625
0.07500124999999999,-1.1988525390625
0.08000133333333333,-1.20709228515625
0.08500141666666666,-1.21527099609375
0.0900015,-1.22308349609375
0.09500158333333332,-1.230224609375
0.10000166666666666,-1.23675537109375
0.10500174999999999,-1.24285888671875
0.11000183333333333,-1.2486572265625
0.11500191666666666,-1.2542724609375
0.120002,-1.2596435546875
0.12500208333333332,-1.2646484375
0.13000216666666667,-1.26910400390625
0.13500225,-1.27313232421875
0.1400023333333333,-1.2772216796875
0.14500241666666666,-1.2813720703125
0.15000249999999998,-1.28564453125
0.15500258333333333,-1.28997802734375
0.16000266666666665,-1.29412841796875
0.16500274999999998,-1.29803466796875
0.17000283333333333,-1.30157470703125
0.17500291666666665,-1.30474853515625
0.180003,-1.30755615234375
0.18500308333333332,-1.30999755859375
0.19000316666666664,-1.31243896484375
0.19500325,-1.3150634765625
0.2000033333333333,-1.31787109375
0.20500341666666666,-1.321044921875
0.21000349999999998,-1.3243408203125
0.2150035833333333,-1.32763671875
0.22000366666666665,-1.33099365234375
0.22500374999999997,-1.334228515625
0.23000383333333332,-1.33709716796875
0.23500391666666665,-1.3388671875
0.240004,-1.33868408203125
0.24500408333333332,-1.33544921875
0.25000416666666664,-1.32830810546875
0.25500425,-1.31646728515625
0.26000433333333334,-1.2994384765625
0.26500441666666663,-1.27667236328125
0.2700045,-1.247802734375
0.27500458333333333,-1.21246337890625
0.2800046666666666,-1.17010498046875
0.28500475,-1.1204833984375
0.2900048333333333,-1.06365966796875
0.2950049166666666,-1.0
0.30000499999999997,-0.93017578125
0.3050050833333333,-0.8553466796875
0.31000516666666666,-0.77667236328125
0.31500524999999996,-0.695556640625
0.3200053333333333,-0.61328125
0.32500541666666666,-0.5311279296875
0.33000549999999995,-0.4500732421875
0.3350055833333333,-0.3709716796875
0.34000566666666665,-0.294677734375
0.34500575,-0.2218017578125
0.3500058333333333,-0.153076171875
0.35500591666666664,-0.0888671875
0.360006,-0.02972412109375
0.3650060833333333,0.02423095703125
0.37000616666666664,0.07305908203125
0.37500625,0.11669921875
0.3800063333333333,0.155517578125
0.38500641666666663,0.189697265625
0.3900065,0.21942138671875
0.3950065833333333,0.24505615234375
0.4000066666666666,0.26702880859375
0.40500674999999997,0.2852783203125
0.4100068333333333,0.29998779296875
0.4150069166666666,0.311279296875
0.42000699999999996,0.3194580078125
0.4250070833333333,0.32513427734375
0.4300071666666666,0.32855224609375
0.43500724999999996,0.330078125
0.4400073333333333,0.3302001953125
0.44500741666666666,0.32891845703125
0.45000749999999995,0.32659912109375
0.4550075833333333,0.32281494140625
0.46000766666666665,0.3172607421875
0.46500774999999994,0.3099365234375
0.4700078333333333,0.30078125
0.47500791666666664,0.289794921875
0.480008,0.277099609375
0.4850080833333333,0.26287841796875
0.49000816666666663,0.24725341796875
0.49500825,0.23046875
0.5000083333333333,0.2125244140625
0.5050084166666666,0.193603515625
0.5100085,0.173828125
0.5150085833333333,0.1533203125
0.5200086666666667,0.13232421875
0.5250087499999999,0.11102294921875
0.5300088333333333,0.08953857421875
0.5350089166666666,0.06829833984375
0.540009,0.04736328125
0.5450090833333333,0.0272216796875
0.5500091666666667,0.00799560546875
0.55500925,-0.0103759765625
0.5600093333333332,-0.02783203125
0.5650094166666666,-0.04449462890625
0.5700095,-0.060546875
0.5750095833333333,-0.07562255859375
0.5800096666666666,-0.08978271484375
0.58500975,-0.1031494140625
0.5900098333333332,-0.115478515625
0.5950099166666666,-0.126953125
0.6000099999999999,-0.13739013671875
0.6050100833333333,-0.146728515625
0.6100101666666666,-0.1551513671875
0.61501025,-0.16302490234375
0.6200103333333333,-0.17059326171875
0.6250104166666666,-0.17779541015625
0.6300104999999999,-0.18511962890625
0.6350105833333333,-0.19268798828125
0.6400106666666666,-0.2008056640625
0.64501075,-0.2095947265625
0.6500108333333333,-0.21856689453125
0.6550109166666667,-0.22747802734375
0.6600109999999999,-0.236328125
0.6650110833333333,-0.245361328125
0.6700111666666666,-0.25494384765625
0.67501125,-0.26513671875
0.6800113333333333,-0.27587890625
0.6850114166666667,-0.287109375
0.6900115,-0.298828125
0.6950115833333332,-0.310791015625
0.7000116666666666,-0.32293701171875
0.7050117499999999,-0.33502197265625
0.7100118333333333,-0.3472900390625
0.7150119166666666,-0.35968017578125
0.720012,-0.372314453125
0.7250120833333332,-0.384765625
0.7300121666666666,-0.39703369140625
0.7350122499999999,-0.40948486328125
0.7400123333333333,-0.4222412109375
0.7450124166666666,-0.43560791015625
0.7500125,-0.44927978515625
0.7550125833333333,-0.46282958984375
0.7600126666666666,-0.47625732421875
0.7650127499999999,-0.48944091796875
0.7700128333333333,-0.5025634765625
0.7750129166666666,-0.51580810546875
0.780013,-0.529052734375
0.7850130833333333,-0.5421142578125
0.7900131666666667,-0.55462646484375
0.7950132499999999,-0.5665283203125
0.8000133333333332,-0.57806396484375
0.8050134166666666,-0.58935546875
0.8100134999999999,-0.60052490234375
0.8150135833333333,-0.61151123046875
0.8200136666666666,-0.622314453125
0.82501375,-0.63311767578125
